sample_id	contig_id	Prediction_tool	Product_class	BGC_probability	BGC_complete	BGC_start	BGC_end	BGC_length	CDS_count	domain_array	backbone_class
GCF_014497835.1	contig_7	antiSMASH	Terpene-precursor		No	1	48705	48705	38	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024413005.1	contig_14	deepBGC		0.57395		96	3250	3154	6	PF00437|PF03743|PF05973	Unknown
GCA_024413005.1	contig_5	deepBGC	Other	0.75922		37681	42772	5091	4	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCF_024214055.1	contig_16	deepBGC		0.52866		5641	5803	162	1	PF16164	Unknown
GCF_024214055.1	contig_3	deepBGC		0.69749		37651	43183	5532	5	PF00133|PF01135|PF01209|PF01406|PF01555|PF01588|PF02353|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13489|PF13649|PF13679|PF13847	Terpene
GCA_024412915.1	contig_6	antiSMASH	Terpene-precursor		No	1	9597	9597	12	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024411895	contig_2	GECCO	Unknown	0.9946902067940162		234627	238281	3654	5	PF01041|PF06306	Unknown
GCF_015904625.1	contig_11	deepBGC	Saccharide	0.73155		37637	49266	11629	9	PF00133|PF00534|PF01135|PF01209|PF01406|PF01588|PF01596|PF02353|PF02784|PF03061|PF03235|PF05175|PF06325|PF07510|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13579|PF13649|PF13679|PF13692|PF13847	Terpene
GCF_015904625.1	contig_17	deepBGC	NRP	0.50891		2117	3164	1047	1	PF00107|PF01262|PF02826|PF03446|PF08240	NRPS_like
GCF_040820945.1	contig_17	antiSMASH	Terpene-precursor		No	1	20507	20507	23	DAO|Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_040861765.1	contig_11	deepBGC		0.74851		37642	46209	8567	7	PF00133|PF00534|PF01135|PF01209|PF01406|PF01555|PF01588|PF01596|PF02353|PF02784|PF03061|PF05175|PF06325|PF08003|PF08123|PF08241|PF08242|PF09334|PF12847|PF13439|PF13489|PF13649|PF13679|PF13692|PF13847	Terpene
GCA_040861765.1	contig_20	deepBGC		0.54585		0	321	321	1	PF05713	Unknown
GCA_040861765.1	contig_20	deepBGC	RiPP	0.67138		2299	5613	3314	2	PF00005|PF00664|PF02463|PF03600|PF13304|PF13555|PF13575	RiPP
GCA_040861765.1	contig_4	deepBGC		0.54924		43623	44367	744	1	PF00106|PF08659|PF13561	Unknown
GCF_014498295.1	contig_21	antiSMASH	Terpene-precursor		No	1	60318	60318	58	Fer4_12|GTP_cyclohydroI|PTPS|PT_FPPS_like|QueE	Terpene
GCA_024407115.1	contig_3	deepBGC		0.61931		9868	10654	786	1	PF08003|PF08241|PF08242|PF13489|PF13649|PF13847	Unknown
