bgc_id	sample_id	contig_id	Prediction_tool	Product_class	BGC_probability	BGC_complete	BGC_start	BGC_end	BGC_length	CDS_count	backbone_class	gcf_id	dbscan_label
GCF_014497835.1__contig_7	GCF_014497835.1	contig_7	antiSMASH	Terpene-precursor		No	1	48705	48705	38	Terpene	GCF_0001	0
GCA_024413005.1__contig_14	GCA_024413005.1	contig_14	deepBGC		0.57395		96	3250	3154	6	Unknown	singleton	-1
GCA_024413005.1__contig_5	GCA_024413005.1	contig_5	deepBGC	Other	0.75922		37681	42772	5091	4	Terpene	GCF_0001	0
GCF_024214055.1__contig_16	GCF_024214055.1	contig_16	deepBGC		0.52866		5641	5803	162	1	Unknown	singleton	-1
GCF_024214055.1__contig_3	GCF_024214055.1	contig_3	deepBGC		0.69749		37651	43183	5532	5	Terpene	singleton	-1
GCA_024412915.1__contig_6	GCA_024412915.1	contig_6	antiSMASH	Terpene-precursor		No	1	9597	9597	12	Terpene	GCF_0001	0
GCA_024411895__contig_2	GCA_024411895	contig_2	GECCO	Unknown	0.9946902067940162		234627	238281	3654	5	Unknown	GCF_0002	1
GCF_015904625.1__contig_11	GCF_015904625.1	contig_11	deepBGC	Saccharide	0.73155		37637	49266	11629	9	Terpene	GCF_0001	0
GCF_015904625.1__contig_17	GCF_015904625.1	contig_17	deepBGC	NRP	0.50891		2117	3164	1047	1	NRPS_like	GCF_0001	0
GCF_040820945.1__contig_17	GCF_040820945.1	contig_17	antiSMASH	Terpene-precursor		No	1	20507	20507	23	Terpene	GCF_0003	2
GCA_040861765.1__contig_11	GCA_040861765.1	contig_11	deepBGC		0.74851		37642	46209	8567	7	Terpene	GCF_0004	3
GCA_040861765.1__contig_20	GCA_040861765.1	contig_20	deepBGC		0.54585		0	321	321	1	Unknown	singleton	-1
GCA_040861765.1__contig_20	GCA_040861765.1	contig_20	deepBGC	RiPP	0.67138		2299	5613	3314	2	RiPP	GCF_0005	4
GCA_040861765.1__contig_4	GCA_040861765.1	contig_4	deepBGC		0.54924		43623	44367	744	1	Unknown	GCF_0001	0
GCF_014498295.1__contig_21	GCF_014498295.1	contig_21	antiSMASH	Terpene-precursor		No	1	60318	60318	58	Terpene	GCF_0001	0
GCA_024407115.1__contig_3	GCA_024407115.1	contig_3	deepBGC		0.61931		9868	10654	786	1	Unknown	GCF_0001	0
GCF_008033055.1__contig_1	GCF_008033055.1	contig_1	deepBGC	Polyketide	0.51005		890339	891092	753	1	Unknown	singleton	-1
GCF_001998245.1__contig_20	GCF_001998245.1	contig_20	antiSMASH	Terpene-precursor		No	1	8052	8052	11	Terpene	GCF_0001	0
GCF_040821405.1__contig_2	GCF_040821405.1	contig_2	deepBGC		0.63616		3645	4431	786	1	Unknown	GCF_0001	0
GCF_040821405.1__contig_35	GCF_040821405.1	contig_35	deepBGC		0.7316		942	6443	5501	11	Unknown	singleton	-1
GCF_040821405.1__contig_9	GCF_040821405.1	contig_9	deepBGC		0.55141		19541	20561	1020	1	Unknown	GCF_0006	5
GCF_037861715.1__contig_15	GCF_037861715.1	contig_15	deepBGC	RiPP	0.51864		26041	26671	630	1	RiPP	GCF_0001	0
GCF_011140545.1__contig_29	GCF_011140545.1	contig_29	antiSMASH	Terpene-precursor		No	1	9069	9069	12	Terpene	GCF_0001	0
GCA_024412535__contig_11	GCA_024412535	contig_11	GECCO	Unknown	0.9947464206591342		25259	28488	3229	5	Unknown	GCF_0002	1
GCA_040861085.1__contig_31	GCA_040861085.1	contig_31	antiSMASH	Terpene-precursor		No	1	8333	8333	11	Terpene	GCF_0001	0
GCF_014496695.1__contig_15	GCF_014496695.1	contig_15	deepBGC		0.54003		1839	2943	1104	1	NRPS_like	GCF_0001	0
GCF_014496695.1__contig_3	GCF_014496695.1	contig_3	deepBGC		0.75342		37845	46423	8578	7	Terpene	GCF_0001	0
GCF_003640145.1__contig_23	GCF_003640145.1	contig_23	antiSMASH	Terpene-precursor		No	1	9747	9747	13	Terpene	GCF_0001	0
GCA_040862065.1__contig_11	GCA_040862065.1	contig_11	deepBGC		0.5338		7055	7841	786	1	Unknown	GCF_0001	0
GCA_040862065.1__contig_12	GCA_040862065.1	contig_12	deepBGC		0.54414		11399	11933	534	1	Unknown	singleton	-1
GCA_040862065.1__contig_12	GCA_040862065.1	contig_12	deepBGC	Polyketide	0.5931		16783	23063	6280	6	RiPP	GCF_0001	0
GCF_040821935.1__contig_9	GCF_040821935.1	contig_9	antiSMASH	Terpene-precursor		No	1	38457	38457	45	Terpene	GCF_0001	0
GCF_037862475.1__contig_11	GCF_037862475.1	contig_11	deepBGC	Saccharide	0.75429		37438	46018	8580	7	Terpene	GCF_0004	3
GCF_037862475.1__contig_25	GCF_037862475.1	contig_25	deepBGC	Polyketide	0.56964		1431	4610	3179	3	Unknown	GCF_0007	6
GCF_037862475.1__contig_4	GCF_037862475.1	contig_4	deepBGC		0.5173		18588	19083	495	1	Unknown	singleton	-1
GCF_037862475.1__contig_4	GCF_037862475.1	contig_4	deepBGC		0.51341		129075	130068	993	1	Unknown	GCF_0001	0
GCF_036455175.1__contig_7	GCF_036455175.1	contig_7	antiSMASH	Terpene-precursor		No	1	57544	57544	56	Terpene	GCF_0001	0
GCF_014496385.1__contig_2	GCF_014496385.1	contig_2	deepBGC		0.74848		37656	46227	8571	7	Terpene	GCF_0004	3
GCF_014498305.1__contig_12	GCF_014498305.1	contig_12	deepBGC	Saccharide	0.75335		37768	46333	8565	7	Terpene	GCF_0004	3
GCF_003639265.1__contig_15	GCF_003639265.1	contig_15	deepBGC	Saccharide	0.71062		81960	93524	11564	10	Terpene	GCF_0008	7
GCF_014498475.1__contig_18	GCF_014498475.1	contig_18	deepBGC		0.57039		43871	48321	4450	3	Unknown	GCF_0009	8
GCF_014498475.1__contig_2	GCF_014498475.1	contig_2	deepBGC		0.58374		3785	7535	3750	3	Unknown	GCF_0001	0
GCF_021184145__contig_1	GCF_021184145	contig_1	GECCO	Unknown	0.9947023405474016		1252044	1255758	3714	5	Unknown	GCF_0002	1
GCF_040821155.1__contig_22	GCF_040821155.1	contig_22	antiSMASH	Terpene-precursor		No	1	24784	24784	18	Terpene	singleton	-1
GCF_014498645.1__contig_23	GCF_014498645.1	contig_23	deepBGC	Saccharide	0.7803		38007	47068	9061	9	Terpene	GCF_0010	9
GCA_040861545.1__contig_25	GCA_040861545.1	contig_25	antiSMASH	Terpene-precursor		No	1	8593	8593	13	Terpene	GCF_0001	0
GCF_036455265.1__contig_11	GCF_036455265.1	contig_11	deepBGC		0.72665		37370	48882	11512	10	Terpene	GCF_0011	10
GCF_036455265.1__contig_7	GCF_036455265.1	contig_7	deepBGC		0.5799		16811	23095	6284	6	RiPP	GCF_0001	0
GCF_015904605.1__contig_16	GCF_015904605.1	contig_16	deepBGC		0.53832		4141	4927	786	1	Unknown	GCF_0001	0
GCF_037861755.1__contig_2	GCF_037861755.1	contig_2	antiSMASH	Terpene-precursor		No	1	113153	113153	106	Terpene	singleton	-1
GCA_024412805.1__contig_2	GCA_024412805.1	contig_2	antiSMASH	Terpene-precursor		No	1	60201	60201	57	Terpene	GCF_0001	0
